epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
214,42604.20096318493,42604.20096318493,45799.68302119007,45799.68302119007
215,42600.07489297945,42600.07489297945,45430.6766213613,45430.6766213613
216,42597.9765625,42597.9765625,44856.12755244007,44856.12755244007
217,42600.04323362585,42600.04323362585,45718.89043236301,45718.89043236301
218,42592.53730201199,42592.53730201199,44930.04921875,44930.04921875
219,42600.26075556507,42600.26075556507,45426.13930864726,45426.13930864726
220,42559.7935359589,42559.7935359589,44917.7571489726,44917.7571489726
221,42554.98027076199,42554.98027076199,45152.7918557363,45152.7918557363
222,42556.51681827911,42556.51681827911,45147.41110338185,45147.41110338185
223,42597.150813356166,42597.150813356166,44720.71567851027,44720.71567851027
224,42569.512976241436,42569.512976241436,44531.3951947774,44531.3951947774
225,42565.68235766267,42565.68235766267,44668.97615582192,44668.97615582192
226,42561.88218642979,42561.88218642979,44786.24979130993,44786.24979130993
227,42577.0901166524,42577.0901166524,45785.65241866438,45785.65241866438
228,42591.56137093322,42591.56137093322,44827.75832619863,44827.75832619863
229,42541.92549764555,42541.92549764555,45092.658743578766,45092.658743578766
230,42566.075235445205,42566.075235445205,45054.81659888699,45054.81659888699
231,42529.402247431506,42529.402247431506,45316.111750856166,45316.111750856166
232,42553.10719713185,42553.10719713185,46508.19570847603,46508.19570847603
233,42553.01230736302,42553.01230736302,45463.90215111301,45463.90215111301
234,42567.8566994863,42567.8566994863,45049.059605094175,45049.059605094175
235,42534.46651862158,42534.46651862158,44546.19754922945,44546.19754922945
236,42561.8829302226,42561.8829302226,45424.242481806505,45424.242481806505
237,42550.77220141267,42550.77220141267,45644.08450342466,45644.08450342466
238,42516.967653039384,42516.967653039384,44875.6568172089,44875.6568172089
239,42519.073913741435,42519.073913741435,45613.91584974315,45613.91584974315
240,42518.822404751714,42518.822404751714,44997.54480950342,44997.54480950342
241,42527.21970248288,42527.21970248288,45041.98178510274,45041.98178510274
242,42522.389565496575,42522.389565496575,44533.74042166096,44533.74042166096
243,42518.14580479452,42518.14580479452,45568.9059182363,45568.9059182363
