Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,2,6,30,0,0,0,0,0,0,11,11.42667498258703,960.261474609375,100.0,101.19416540022829,1.2607741673917614,0.0,55.3981819152832,2.918498992919922,0
2012,1,2,7,30,2,0,2,8,18,9,11,12.983607066351283,960.647705078125,93.55524577070298,88.66154850541182,1.2073644211179266,0.0,59.30966567993164,2.6368632316589355,0
2012,1,2,8,30,96,304,166,89,379,176,11,15.49531886323382,961.5972290039062,78.74002118680822,76.81543966528838,1.1664395113910981,0.0,65.7123794555664,2.328857660293579,0
2012,1,2,9,30,155,516,365,135,588,374,10,20.16401452275096,962.1571655273438,55.113594170414224,66.03065473093284,1.1489873615142474,0.0,71.64392852783203,2.3850183486938477,0
2012,1,2,10,30,170,666,534,161,697,541,8,23.569535903276005,961.9035034179688,38.55888635078496,56.929726175013705,1.1466703830204668,0.0,78.1632308959961,2.133631467819214,0
2012,1,2,11,30,175,752,654,175,752,654,7,25.63859143357348,960.662109375,31.106182292740957,50.442765041015655,1.1470199736237896,0.0,84.52820587158203,1.6731852293014526,0
2012,1,2,12,30,180,771,700,180,771,700,6,26.856713778647986,959.6685791015625,27.17366072369249,47.655971520601796,1.1572505211158617,0.0,84.75909423828125,1.3037793636322021,0
2012,1,2,13,30,177,760,674,177,760,674,5,27.244935924619483,958.6937255859375,25.264628332156953,49.20457946347576,1.1831752997453577,0.0,75.41754150390625,1.0933845043182373,0
2012,1,2,14,30,165,715,579,165,715,579,5,26.730017156842337,958.3049926757812,25.09927710677931,54.72069788540165,1.2197348117929583,0.0,56.68611145019531,1.0061678886413574,0
2012,1,2,15,30,143,624,425,143,624,425,4,25.324909166603618,958.0919189453125,26.547600105946202,63.16967317456101,1.2584336887975087,0.0,44.560916900634766,1.164410948753357,0
2012,1,2,16,30,105,452,233,105,452,233,4,23.04063933617232,957.9947509765625,30.102770037400656,73.54167838243828,1.2901988186821933,0.0,44.09172821044922,1.5865998268127441,0
2012,1,2,17,30,28,0,28,34,121,45,4,19.885041264570646,958.5731201171875,37.10373242672991,85.12846815692393,1.3179166884111326,0.0,44.07004165649414,2.4057083129882812,0
2012,1,2,18,30,0,0,0,0,0,0,5,18.710709560540636,959.1749267578125,40.60557242642655,97.49168826119612,1.3418907791150971,0.0,45.858070373535156,3.0681345462799072,0
2012,1,2,19,30,0,0,0,0,0,0,5,17.686725015619857,959.915771484375,43.91845157135326,110.35665426425793,1.3591201092786123,0.0,48.682098388671875,3.3739194869995117,0
2012,1,2,20,30,0,0,0,0,0,0,5,16.69312767750398,960.3837280273438,47.16646178358525,123.55465955830633,1.367674938900746,0.0,52.21989059448242,3.509244680404663,0
2012,1,2,21,30,0,0,0,0,0,0,5,15.78583607608823,960.7120971679688,49.92763573269938,136.9732565701334,1.3705168245663895,0.0,55.97294998168945,3.544395923614502,0
2012,1,2,22,30,0,0,0,0,0,0,5,14.963582645627014,960.6018676757812,52.41372897519487,150.53138658812256,1.3657601028577169,0.0,59.64605712890625,3.499443292617798,0
2012,1,2,23,30,0,0,0,0,0,0,5,14.236494384615924,959.852783203125,54.369536178140365,164.15241991792095,1.357624412044696,0.0,62.62586975097656,3.460590124130249,0
2012,1,3,0,30,0,0,0,0,0,0,4,13.607140742802073,959.4119873046875,55.90797072622574,177.32094440229457,1.3500674103257306,0.0,64.72518157958984,3.4679362773895264,0
2012,1,3,1,30,0,0,0,0,0,0,4,13.056314376865373,958.798095703125,57.330125206027716,168.1959225188544,1.3432496234629818,0.0,67.52218627929688,3.508371591567993,0
2012,1,3,2,30,0,0,0,0,0,0,4,12.492282950597598,958.3518676757812,58.99434687658561,154.5805844908985,1.334702028466979,0.0,69.30491638183594,3.3913521766662598,0
2012,1,3,3,30,0,0,0,0,0,0,4,11.958683979405748,957.6409301757812,60.73418635118921,140.99276452535108,1.3214068333185653,0.0,68.46986389160156,3.1836435794830322,0
2012,1,3,4,30,0,0,0,0,0,0,4,11.530286221652318,957.7702026367188,62.24384112183061,127.52213254936808,1.3158691833607492,0.0,66.13047790527344,3.0024280548095703,0
2012,1,3,5,30,0,0,0,0,0,0,4,11.200794258665667,958.5147705078125,63.512985275627734,114.2445201041216,1.3120212089604135,0.0,64.10065460205078,2.8664987087249756,0
2012,1,3,6,30,0,0,0,0,0,0,4,10.961114557065969,958.9346923828125,64.48044250883201,101.26044951580865,1.3079998623363431,0.0,63.251468658447266,2.7304656505584717,0
2012,1,3,7,30,1,0,1,8,17,8,4,12.763189745135037,959.7637939453125,56.91668148170809,88.7158965937629,1.30465946455852,0.0,63.456199645996094,2.5111262798309326,0
2012,1,3,8,30,98,318,171,89,375,174,4,16.301122381916002,960.8145141601562,44.883779310010006,76.8541341528524,1.3012285442491818,0.0,65.98655700683594,2.0710394382476807,0
2012,1,3,9,30,139,571,371,134,583,371,3,21.131893940893292,961.1692504882812,32.12284996886674,66.04822628057079,1.306803651182228,0.0,69.58407592773438,1.962235450744629,0
2012,1,3,10,30,160,692,538,160,692,538,3,24.54416141061415,960.6817016601562,25.409761596861685,56.91897750389049,1.312561726787723,0.0,70.02237701416016,1.6239500045776367,0
2012,1,3,11,30,174,747,651,174,747,651,3,26.61184872467186,959.3980102539062,21.949592072079756,50.39631527997113,1.3203395803678442,0.0,70.84024810791016,1.2138104438781738,0
2012,1,3,12,30,179,766,697,179,766,697,2,27.81566185490078,958.0352172851562,19.686073216955347,47.57136689266415,1.3391888251524193,0.0,67.53585815429688,0.9157883524894714,0
2012,1,3,13,30,176,755,671,176,755,671,1,28.18697708516879,957.01904296875,18.468375232149658,49.08922573856838,1.3708408524686186,0.0,59.44651794433594,0.7993078231811523,0
2012,1,3,14,30,165,711,577,165,711,577,1,27.725025560871302,956.3244018554688,18.322084697669222,54.58780946625666,1.405142342899738,0.0,54.472023010253906,0.6138671636581421,0
2012,1,3,15,30,143,622,425,143,622,425,1,26.409909580597173,955.8519897460938,19.36420615498626,63.03009904282379,1.4233729689330896,0.0,53.47371292114258,0.39049333333969116,0
2012,1,3,16,30,105,451,234,105,451,234,2,23.881884758958392,956.1227416992188,23.859148393122158,73.4014960226316,1.4317026401056188,0.0,50.756500244140625,0.3739621639251709,0
2012,1,3,17,30,30,0,30,35,125,46,1,20.617446760479766,956.611083984375,27.636662627872,84.99050117890728,1.436316168335986,0.0,45.601295471191406,0.7411651015281677,0
